,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Code,Country
66,0.03811209035297862,0.037955062970006906,0.040211280801855036,0.039177252324327144,0.0369173181409885,0.035053138209770095,0.0340293171414875,0.03348662346038212,0.03137004178508457,0.02945131076196226,0.02842675533057929,0.028377332587503492,0.028817309506360644,0.027903737992994317,0.027975613281722392,0.028447876926028244,0.027736892407475816,0.02785155134988379,0.02796244098357161,0.027621157801755232,0.027454543136387805,0.028265831595208547,0.028586134711430587,0.028376481695402564,0.027682633631130646,0.02722376197717459,0.026536683606878168,0.026676126894981285,0.025566601734290005,0.024387613442954054,0.02379747515616784,0.02258278498760959,0.021660176610303217,0.02107274088365591,0.02011348855773652,0.019158542932228975,0.018934195069845318,0.018555048796836386,0.017904365669954937,0.017852200470764856,0.017593996600934043,0.016994356305730967,0.0168849457761532,0.016849778300448787,0.016664441965561282,0.016256131312225197,0.015750426710880925,0.015316076142792567,0.015674893361241674,0.016685236217084915,0.01591669912257265,0.015268642354925968,0.015191162284131237,0.014632857204644295,0.014232567155017252,0.014050553142147383,0.014291305234927847,0.01446011082759797,0.01449270165236951,EMU,Euro area
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23027128063297644,0.1508370777520761,0.21625081484605196,0.21955863669364883,0.13511676387209698,0.35277325142763877,0.3960637077361274,0.3265567104568937,0.22136791531458525,0.20671878282151968,0.2086574527412067,,,,,,,,,,,,,,,,ERI,Eritrea
68,0.019287391006835797,0.01730111116664206,0.01913379982497362,0.016593538087118862,0.01812325788332415,0.017749585133415454,0.019530721801665065,0.017250137428419618,0.02124676636516717,0.022356882100920104,0.020958384272690554,0.01931843739983068,0.021243248230262596,0.01934548045458413,0.020233347173472215,0.018368071173838544,0.02127308906075256,0.021206964164313565,0.021610847076334247,0.022884012872247582,0.023664697415602117,0.024544156093528374,0.025287370012799116,0.027908348764022664,0.028192142968209856,0.028084943047077,0.02495062855279919,0.024851952760060095,0.023661220023143782,0.022429830043252563,0.02179638686525094,0.02023726315873884,0.01941652306662666,0.019123933127816586,0.019022582051805553,0.018613306815391202,0.017576268791711213,0.016719661469761272,0.01668793552150586,0.01751038641971856,0.01721253806835336,0.0162956945059544,0.014560422147615383,0.014224898053371326,0.014302833350483855,0.01387143251768412,0.013699369967934905,0.013630354180304902,0.013676705676798746,0.013582726953598709,0.013873780357745865,0.013318770247441465,0.014236365743813744,0.012727709698635447,0.012544591652567886,0.012709068903526218,0.01137465500303438,0.012223162854619286,0.012853305963352055,ESP,Spain
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032809126980125358,0.006105744993856555,0.008080237964217394,0.008668438357619363,0.010301986620529214,0.010575489373504854,0.012808039729165359,0.013753485771513325,0.014988763210121292,0.016557509597220903,0.017353536303377267,0.01687759149335525,0.018864774415093197,0.01852651608421743,0.019789974583332263,0.020753091488922834,0.02199850260959075,0.01687000093209722,0.016640108293937146,0.018835786155972294,0.01896667076246972,0.019127852626000374,0.020112436327472717,0.020738624806650452,0.02000961334570374,0.020115228253097032,EST,Estonia
70,,,,,,,,,,,,,,,,,,,,,,0.05010041318783219,0.05025730820992319,0.047667016961372564,0.05224845917518773,0.04529603099702761,0.04459546126569644,0.04527434458663433,0.05636251662478341,0.06809706435531823,0.0644794707508536,0.03929285420454806,0.024334662332415918,0.018554561257773303,0.021462577267901906,0.015978652672774825,0.01479359204498891,0.026244214381476495,0.058651411405988466,0.09138035137940384,0.07492262025780587,0.04249719617469424,0.036802871546866824,0.03231483482005923,0.030701115375072627,0.027583484563621186,0.02262221992068647,0.018274168447250543,0.014341775951012693,0.010470255999490355,0.0101429531545717,0.010404163529476184,0.008463008828590333,0.007241912289954491,0.00745296563301868,0.006851774161248892,0.0065975714443150865,0.006153275053011053,0.005893258694381602,ETH,Ethiopia
71,,,,,,,0.05833942900191368,0.05669325982709552,0.05417051873439142,0.05126292778034587,0.049788351938723975,0.049163928796064495,0.04772506279278258,0.04326811787748119,0.04284819537944532,0.04303798157191809,0.041906648863528254,0.041587067305145636,0.03730640136644689,0.033778564587418444,0.03480524405988828,0.03644846810640419,0.0374351775076294,0.036998538989123926,0.0364571825075258,0.03651812291970436,0.03391113587703258,0.03302725503886961,0.032247205646503976,0.03118299457265157,0.029537007696763744,0.02866746286089206,0.02702413100837742,0.02619346911871962,0.025283456834622207,0.023385562352272703,0.02312840028789803,0.023277099854373283,0.022839437516848013,0.022593463459890255,0.022453649831829525,0.021929932998960153,0.021865755262813535,0.021591386592033576,0.021405773034932057,0.020915779366672046,0.020231563415070986,0.01978191510733608,0.01952360391734114,0.02025980856218575,0.019669354558176436,0.01886691818370858,0.018994058745867185,0.01817758042098446,0.017846788979036632,0.0180114861019665,0.017647992517357262,0.017440624851689405,0.017637477669545334,EUU,European Union
72,,,,,,0.032030019619727235,0.031076906020784816,0.03269249040623737,0.03835493381219272,0.041930126218884166,0.04083933429669273,0.040801017758997506,0.038869260747490905,0.04268754542103921,0.04681588339561596,0.046706660700984295,0.04374357855923392,0.04625088298805158,0.049052269673080046,0.04724382998107136,0.04740369896922195,0.036067054236238676,0.021907941270349174,0.02346020283279408,0.030119264360880745,0.02764036759517599,0.031037469471017216,0.03056390426546079,0.03086411790030688,,0.021647511693772395,0.027208578159137957,0.027163163289958832,0.0289359548266986,,,0.02716445452270175,0.028280108654782077,0.03271978234686255,0.03370658813988589,0.034115378101796344,,,0.07088789431584852,0.07120853443871974,0.06252730286843294,0.01088493268577712,0.011366727299193894,0.011516129192472278,0.011833551400302476,0.008454201819497716,0.009195154644570573,0.009840963543648197,0.012454289402087712,0.011274651607600569,0.012018615362107377,0.011196419502819063,0.012548724616266813,0.009156256790681045,FCS,Fragile and conflict affected situations
73,0.01714315981158814,0.017790785685377137,0.024351598717186722,0.0186723767140922,0.018014261268799858,0.017413721120437597,0.016606009683637714,0.015654007922181825,0.017007757879581965,0.013930614191907265,0.013461687229378511,0.014178123631442266,0.014978574796745397,0.014223635400033706,0.012427462573082792,0.014697076843575413,0.013091453463001959,0.013786857578027792,0.013980229646657861,0.014451798090349835,0.01628307062050392,0.015079238022663722,0.016002840530064486,0.017758020418604453,0.015618999986121205,0.016310256442993564,0.016636001713948922,0.015964141158619823,0.015627603080823265,0.0148437582051926,0.015139465724231794,0.01722567984067593,0.01844760575794397,0.01810727836382018,0.017002322862444706,0.0142260186410902,0.015301670558241807,0.01534134090200975,0.01462046816759796,0.01223136046434963,0.012395010336626593,0.011429911270863876,0.01153159604459137,0.014450855902167435,0.014676251685392829,0.014644813145548224,0.014423276740055613,0.012874535431010522,0.01390990341349084,0.015606491244603738,0.014917580648417833,0.014894095089176088,0.015265838766728919,0.015338613047744426,0.014519302582184927,0.014498949806390143,0.014193250306826498,0.013444394738369187,0.013951076465701743,FIN,Finland
74,,,,,,,,,,,0.0018801149098968209,0.0021619302600191163,0.002487610421876158,0.0021873408802346797,0.0024222101947733348,0.003005040284137752,0.003961443331815557,0.005074769677156954,0.008730005609550553,0.009386984734340057,0.008620882372076633,0.009193044150819915,0.012511693148423647,0.01344746681698769,0.013243942600751245,0.012275503568747433,0.011309049558919749,0.021335657423200875,0.022229142705063626,0.02459080197578958,0.0228432800917329,0.02347272247685006,0.019936717797862945,0.019591894200640905,0.018443843248426083,0.017611230642537813,0.015428380189027133,0.014786351512641314,0.013640230891188114,0.012260351807312381,0.019024613730658547,0.01976483914193858,0.016776711992872784,0.01610446146282415,0.017158088916583644,0.014338308318193481,0.017425611806064098,0.022195534492378766,0.015209432554362221,0.017865701312023197,0.016051205821484477,0.016104128873090304,0.014909700147809004,0.013867849865665976,0.009487290998395733,0.009058747235277937,0.008650611681130991,0.008537705492877707,0.00874377392603552,FJI,Fiji
75,0.06237348132456249,0.061234851813034785,0.059429577997004414,0.0546024634403297,0.052314317359748876,0.0504692301243875,0.04920314245234234,0.04922217246919724,0.04723134432337577,0.04164606992618232,0.03962368252570376,0.03796049922504715,0.0370096485671526,0.03591181417013062,0.03486094273664332,0.036112100771265844,0.03573349605246506,0.03666202354777106,0.03724641878611078,0.03692124261621906,0.037683769192415145,0.03877344653850801,0.03850835898487546,0.03867625216136293,0.03808736032536599,0.03756845857067899,0.036884012564031614,0.037315062115166296,0.035437078788457456,0.03444855279895221,0.03355700659814356,0.03364325106998791,0.032197062595616444,0.03219713460688668,0.03184581179928517,0.029834655203718738,0.028899644126456795,0.028431881613188544,0.026638884224964045,0.026059226148395908,0.02482238085721432,0.024175443527335475,0.02436208193527505,0.02494835780173627,0.025053626306848324,0.024091863279351696,0.023512561928756344,0.022803960826646354,0.022618501609282804,0.024861896831942717,0.02337906791149195,0.02257662080206684,0.022369248656617696,0.022203974869594724,0.022303601712455417,0.02269787232420798,0.023209949612717214,0.023280918054385744,0.02288478833038371,FRA,France
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRO,Faroe Islands
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSM,"Micronesia, Fed. Sts."
78,,,,,,,,0.011077841509352553,0.010150876290401836,0.013675934574253557,0.014324026248130832,0.014405352151278694,0.015502281231619269,0.01303539245632437,0.006795793686196657,0.007807089796320447,0.006684758648537595,0.010297002222293539,,0.018771299666522,0.01603624141592713,0.022868070480701566,0.024476425584833015,0.0255358686998679,0.022554924273509594,0.028590467469874405,0.039959266045543985,,,,,,,,,,,,,,0.018014530067587946,0.017939508745482065,0.017831707885178343,0.01668328794078717,0.01613165558915944,0.01233028041865095,0.012621860803470974,,,,0.01869798471018106,0.014605207483094289,0.01619897611025463,0.01603588692167743,0.011432933384544656,0.011845458345118558,0.014462134381300958,0.017912922197596236,0.015491224063772997,GAB,Gabon
79,0.06264576820811425,0.06106609291453972,0.06161043780140864,0.06003558390078062,0.05835335530560532,0.05687318058862534,0.05512430596191244,0.05481572124266325,0.051625836969381035,0.04760751910704055,0.04648583965102585,0.045397067390892186,0.04624751821230198,0.04388051265190208,0.04534220023917319,0.047749480263374555,0.0462853791679026,0.04403262477698912,0.04232873901598795,0.04185427921853029,0.044895152210852426,0.044567745771312374,0.04812300322268953,0.04826427541661232,0.04926008909161426,0.047581984221175044,0.04525184957462415,0.04191255193888084,0.03769175725009118,0.036141166409777714,0.03562466716465382,0.03681693003287677,0.03456500609694421,0.03211441826003608,0.03024448423641059,0.025527894602032836,0.024369049837568754,0.022882031854035652,0.02234087321511564,0.021667480047663425,0.021265811011589537,0.02154062509005613,0.022224773732648966,0.022865335110894985,0.02233009178374535,0.021724504147037044,0.021182120882797945,0.021279778510272192,0.02245190581296928,0.024021897410347857,0.023465501281530413,0.022663937054537186,0.021625909714627647,0.02040965282268302,0.0193167948180582,0.018391842854181467,0.01785964569214923,0.017415345893758195,0.01747745536451566,GBR,United Kingdom
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021876607901015272,0.012535950295544369,0.011369718482049701,0.00924372674582677,0.0061568090179086425,0.007401786543978125,0.010005455943901297,0.010685131229156129,0.013739458583380406,0.033392188328121755,0.052182240256445654,0.0915915991418109,0.08520154245583482,0.05606616459971368,0.03709543905813314,0.03102971661027442,0.029838094515365784,0.025706251059584344,0.023579868652529888,0.020029100347063237,0.02081623775137313,0.018976098018557864,0.0179837364539032,GEO,Georgia
